source,target,weight
061220-24_airplane_01_c012,99-24_airplane_01_c141,0.874
061220-24_airplane_01_c012,99-45_airplane_03_c155,0.804
090224-09_generator_01_c013,090224-09_generator_01_c015,0.929
090224-09_generator_01_c013,1989-08_airplane_01_c022,0.85
090224-09_generator_01_c013,1989-08_airplane_01_c031,0.924
090224-09_generator_01_c013,2000-23_background_and_vehicle_noise_2_c058,0.968
090224-09_generator_01_c013,2000-23_vehicle_noise_1_c069,0.901
090224-09_generator_01_c013,2000-24_generator_noise_4_c091,0.993
090224-09_generator_01_c013,2000-24_vehicle_noise_1_c103,0.89
090224-09_generator_01_c013,2000-24_vehicle_noise_1_c106,0.872
090224-09_generator_01_c013,99-22A_airplane_01_c132,0.939
090224-09_generator_01_c013,99-24_airplane_01_c139,0.931
090224-09_generator_01_c013,99-45_airplane_01_c148,0.899
090224-09_generator_01_c013,99-45_airplane_03_c154,0.887
090224-09_generator_01_c013,99-45_vehicle_01_c187,0.805
090224-09_generator_01_c013,99-45_vehicle_01_c188,0.931
090224-09_generator_01_c013,99-45_vehicle_01_c190,0.947
090224-09_generator_01_c015,1989-08_airplane_01_c031,0.87
090224-09_generator_01_c015,1989-08_airplane_03_c042,0.802
090224-09_generator_01_c015,1989-08_airplane_03_c050,0.805
090224-09_generator_01_c015,1989-08_airplane_03_c056,0.938
090224-09_generator_01_c015,2000-23_background_and_vehicle_noise_2_c058,0.987
090224-09_generator_01_c015,2000-23_vehicle_noise_1_c069,0.99
090224-09_generator_01_c015,2000-24_generator_noise_4_c091,0.929
090224-09_generator_01_c015,2000-24_generator_noise_4_c096,0.858
090224-09_generator_01_c015,2000-24_vehicle_noise_1_c103,0.922
090224-09_generator_01_c015,2000-24_vehicle_noise_1_c106,0.929
090224-09_generator_01_c015,2000-24_vehicle_noise_1_c112,0.806
090224-09_generator_01_c015,2003-7_airplane_01_c124,0.864
090224-09_generator_01_c015,99-22A_airplane_01_c132,0.883
090224-09_generator_01_c015,99-24_airplane_01_c139,0.86
090224-09_generator_01_c015,99-45_airplane_01_c148,0.804
090224-09_generator_01_c015,99-45_airplane_03_c154,0.926
090224-09_generator_01_c015,99-45_vehicle_01_c188,0.831
090224-09_generator_01_c015,99-45_vehicle_01_c190,0.831
090224-09_generator_01_c016,99-45_vehicle_01_c182,0.835
090224-09_generator_01_c016,99-45_vehicle_02_c205,0.806
1989-06_airplane_01_c018,1989-08_airplane_03_c056,0.832
1989-06_airplane_01_c018,2000-23_vehicle_noise_4_c079,0.807
1989-06_airplane_01_c018,2000-24_generator_noise_4_c096,0.881
1989-06_airplane_01_c018,2000-24_vehicle_noise_1_c099,0.886
1989-06_airplane_01_c018,2000-24_vehicle_noise_1_c112,0.939
1989-06_airplane_01_c018,2002-2_airplane_01_c120,0.917
1989-06_airplane_01_c020,2000-3_airplane_02_c116,0.84
1989-06_airplane_01_c020,2002-2_airplane_01_c119,0.908
1989-06_airplane_01_c020,99-45_vehicle_01_c177,0.81
1989-06_airplane_01_c020,99-45_vehicle_01_c179,0.867
1989-06_airplane_01_c020,99-45_vehicle_02_c206,0.808
1989-08_airplane_01_c021,1989-08_airplane_01_c027,0.871
1989-08_airplane_01_c021,1989-08_airplane_03_c048,0.849
1989-08_airplane_01_c021,1989-08_airplane_03_c051,0.907
1989-08_airplane_01_c021,2000-23_background_vehicle_noise_c068,0.868
1989-08_airplane_01_c021,2000-3_airplane_02_c117,0.892
1989-08_airplane_01_c021,99-22A_airplane_01_c134,0.845
1989-08_airplane_01_c021,99-22A_airplane_01_c135,0.859
1989-08_airplane_01_c021,99-45_vehicle_01_c181,0.92
1989-08_airplane_01_c021,99-45_vehicle_01_c184,0.893
1989-08_airplane_01_c021,99-45_vehicle_01_c185,0.897
1989-08_airplane_01_c021,99-45_vehicle_02_c192,0.906
1989-08_airplane_01_c022,1989-08_airplane_01_c031,0.825
1989-08_airplane_01_c022,2000-24_generator_noise_4_c091,0.809
1989-08_airplane_01_c022,2000-24_vehicle_and_generator_noise_1_c098,0.868
1989-08_airplane_01_c022,99-22A_airplane_01_c132,0.919
1989-08_airplane_01_c022,99-22A_airplane_01_c133,0.895
1989-08_airplane_01_c022,99-24_airplane_01_c139,0.839
1989-08_airplane_01_c022,99-45_vehicle_01_c188,0.979
1989-08_airplane_01_c022,99-45_vehicle_01_c190,0.944
1989-08_airplane_01_c023,1989-08_airplane_03_c040,0.947
1989-08_airplane_01_c023,2000-24_generator_noise_2_c085,0.864
1989-08_airplane_01_c023,2000-24_vehicle_noise_1_c104,0.917
1989-08_airplane_01_c023,99-45_vehicle_01_c170,0.804
1989-08_airplane_01_c024,1989-08_airplane_02_c036,0.999
1989-08_airplane_01_c024,1989-08_airplane_03_c041,0.989
1989-08_airplane_01_c024,99-22A_airplane_01_c136,0.924
1989-08_airplane_01_c024,99-45_vehicle_01_c162,0.919
1989-08_airplane_01_c024,99-45_vehicle_02_c206,0.852
1989-08_airplane_01_c025,1989-08_airplane_02_c037,0.922
1989-08_airplane_01_c026,1989-08_airplane_03_c038,0.846
1989-08_airplane_01_c026,1989-08_airplane_03_c047,0.905
1989-08_airplane_01_c026,1989-08_airplane_03_c052,0.973
1989-08_airplane_01_c026,2000-24_generator_noise_3_c087,0.872
1989-08_airplane_01_c026,2000-24_generator_noise_4_c090,0.827
1989-08_airplane_01_c026,99-37_airplane_and_vehicle_01_c146,0.961
1989-08_airplane_01_c026,99-45_airplane_03_c155,0.867
1989-08_airplane_01_c027,1989-08_airplane_03_c051,0.972
1989-08_airplane_01_c027,2000-23_background_vehicle_noise_c068,0.809
1989-08_airplane_01_c027,99-22A_airplane_01_c134,0.928
1989-08_airplane_01_c027,99-22A_airplane_01_c135,0.95
1989-08_airplane_01_c027,99-45_vehicle_01_c167,0.811
1989-08_airplane_01_c027,99-45_vehicle_01_c181,0.918
1989-08_airplane_01_c028,1989-08_airplane_03_c044,0.805
1989-08_airplane_01_c028,1989-08_airplane_03_c049,0.918
1989-08_airplane_01_c028,1989-08_airplane_03_c055,0.848
1989-08_airplane_01_c028,2000-23_background_vehicle_noise_c067,0.932
1989-08_airplane_01_c028,2000-24_generator_noise_1_c080,0.813
1989-08_airplane_01_c028,99-24_airplane_01_c140,0.903
1989-08_airplane_01_c029,99-45_vehicle_02_c195,0.924
1989-08_airplane_01_c029,99-45_vehicle_02_c198,0.846
1989-08_airplane_01_c029,99-45_vehicle_02_c199,0.822
1989-08_airplane_01_c030,1989-08_airplane_03_c044,0.91
1989-08_airplane_01_c030,2000-23_background_and_vehicle_noise_2_c063,0.807
1989-08_airplane_01_c030,2000-23_vehicle_noise_4_c075,0.873
1989-08_airplane_01_c030,2000-24_generator_noise_2_c084,0.854
1989-08_airplane_01_c030,2000-24_vehicle_noise_1_c108,0.824
1989-08_airplane_01_c031,1989-08_airplane_02_c035,0.827
1989-08_airplane_01_c031,1989-08_airplane_03_c040,0.846
1989-08_airplane_01_c031,2000-23_background_and_vehicle_noise_2_c058,0.883
1989-08_airplane_01_c031,2000-23_vehicle_noise_1_c069,0.82
1989-08_airplane_01_c031,2000-24_generator_noise_4_c091,0.933
1989-08_airplane_01_c031,2000-24_vehicle_noise_1_c103,0.901
1989-08_airplane_01_c031,2000-3_airplane_02_c116,0.816
1989-08_airplane_01_c031,99-22A_airplane_01_c132,0.952
1989-08_airplane_01_c031,99-22A_airplane_01_c133,0.84
1989-08_airplane_01_c031,99-24_airplane_01_c139,0.927
1989-08_airplane_01_c031,99-45_airplane_01_c148,0.879
1989-08_airplane_01_c031,99-45_airplane_03_c154,0.919
1989-08_airplane_01_c031,99-45_vehicle_01_c188,0.895
1989-08_airplane_01_c031,99-45_vehicle_01_c190,0.947
1989-08_airplane_01_c031,99-45_vehicle_02_c206,0.824
1989-08_airplane_02_c034,2000-24_vehicle_noise_1_c110,0.963
1989-08_airplane_02_c034,99-37_airplane_and_vehicle_01_c145,0.831
1989-08_airplane_02_c034,99-45_vehicle_01_c164,0.953
1989-08_airplane_02_c034,99-45_vehicle_01_c165,0.923
1989-08_airplane_02_c034,99-45_vehicle_01_c180,0.867
1989-08_airplane_02_c034,99-45_vehicle_01_c186,0.812
1989-08_airplane_02_c035,1989-08_airplane_03_c040,0.882
1989-08_airplane_02_c035,2003-7_airplane_01_c123,0.809
1989-08_airplane_02_c035,99-22A_airplane_01_c133,0.828
1989-08_airplane_02_c035,99-24_airplane_01_c139,0.83
1989-08_airplane_02_c035,99-45_vehicle_01_c161,0.849
1989-08_airplane_02_c035,99-45_vehicle_01_c170,0.936
1989-08_airplane_02_c036,1989-08_airplane_03_c041,0.993
1989-08_airplane_02_c036,99-22A_airplane_01_c136,0.929
1989-08_airplane_02_c036,99-45_vehicle_01_c162,0.918
1989-08_airplane_02_c036,99-45_vehicle_02_c206,0.842
1989-08_airplane_02_c037,1989-08_airplane_03_c042,0.893
1989-08_airplane_02_c037,1989-08_airplane_03_c050,0.818
1989-08_airplane_02_c037,2002-2_airplane_01_c120,0.863
1989-08_airplane_02_c037,99-37_airplane_and_vehicle_01_c144,0.804
1989-08_airplane_03_c038,99-37_airplane_and_vehicle_01_c146,0.806
1989-08_airplane_03_c038,99-45_airplane_03_c155,0.945
1989-08_airplane_03_c039,1989-08_airplane_03_c054,0.824
1989-08_airplane_03_c039,1989-08_airplane_03_c057,0.887
1989-08_airplane_03_c039,2000-24_generator_noise_4_c088,0.841
1989-08_airplane_03_c039,2000-24_vehicle_noise_1_c109,0.977
1989-08_airplane_03_c039,2000-24_vehicle_noise_1_c110,0.843
1989-08_airplane_03_c039,99-37_airplane_02_c142,0.808
1989-08_airplane_03_c039,99-45_vehicle_01_c189,0.905
1989-08_airplane_03_c039,99-45_vehicle_02_c201,0.856
1989-08_airplane_03_c039,99-45_vehicle_02_c203,0.812
1989-08_airplane_03_c040,2000-24_generator_noise_2_c085,0.919
1989-08_airplane_03_c040,2003-7_airplane_01_c124,0.8
1989-08_airplane_03_c040,99-45_vehicle_01_c170,0.86
1989-08_airplane_03_c040,99-45_vehicle_02_c206,0.849
1989-08_airplane_03_c041,99-22A_airplane_01_c136,0.937
1989-08_airplane_03_c041,99-45_vehicle_01_c162,0.895
1989-08_airplane_03_c041,99-45_vehicle_02_c206,0.818
1989-08_airplane_03_c042,1989-08_airplane_03_c050,0.801
1989-08_airplane_03_c042,1989-08_airplane_03_c056,0.852
1989-08_airplane_03_c042,2000-24_generator_noise_2_c081,0.881
1989-08_airplane_03_c042,2000-24_generator_noise_2_c083,0.845
1989-08_airplane_03_c042,2000-24_generator_noise_4_c096,0.881
1989-08_airplane_03_c042,2000-24_vehicle_noise_1_c105,0.822
1989-08_airplane_03_c042,2000-24_vehicle_noise_1_c106,0.956
1989-08_airplane_03_c042,2000-24_vehicle_noise_1_c112,0.804
1989-08_airplane_03_c042,2002-2_airplane_01_c120,0.953
1989-08_airplane_03_c042,99-45_vehicle_01_c187,0.844
1989-08_airplane_03_c044,2000-23_background_and_vehicle_noise_2_c063,0.928
1989-08_airplane_03_c044,2000-23_background_vehicle_noise_c067,0.918
1989-08_airplane_03_c044,2000-23_vehicle_noise_4_c075,0.842
1989-08_airplane_03_c044,2000-23_vehicle_noise_4_c076,0.888
1989-08_airplane_03_c044,99-24_airplane_01_c140,0.895
1989-08_airplane_03_c045,2000-24_generator_noise_4_c089,0.918
1989-08_airplane_03_c045,2000-27_airplane_01_c115,0.815
1989-08_airplane_03_c045,2002-2_airplane_01_c121,0.807
1989-08_airplane_03_c045,99-45_vehicle_02_c210,0.822
1989-08_airplane_03_c046,2000-23_background_noise_1_c065,0.906
1989-08_airplane_03_c046,2000-24_vehicle_noise_1_c111,0.871
1989-08_airplane_03_c046,99-37_airplane_02_c143,0.844
1989-08_airplane_03_c047,1989-08_airplane_03_c052,0.86
1989-08_airplane_03_c047,2000-24_generator_noise_2_c082,0.865
1989-08_airplane_03_c047,99-37_airplane_and_vehicle_01_c146,0.9
1989-08_airplane_03_c047,99-45_airplane_03_c155,0.912
1989-08_airplane_03_c048,1989-08_airplane_03_c051,0.817
1989-08_airplane_03_c048,2000-23_background_noise_1_c066,0.819
1989-08_airplane_03_c048,2000-23_background_vehicle_noise_c068,0.966
1989-08_airplane_03_c048,2000-23_vehicle_noise_1_c071,0.896
1989-08_airplane_03_c048,2000-24_generator_noise_2_c082,0.887
1989-08_airplane_03_c048,2000-24_generator_noise_3_c086,0.858
1989-08_airplane_03_c048,2000-3_airplane_02_c117,0.958
1989-08_airplane_03_c048,99-22A_airplane_01_c130,0.962
1989-08_airplane_03_c048,99-24_airplane_01_c141,0.834
1989-08_airplane_03_c048,99-45_vehicle_01_c184,0.895
1989-08_airplane_03_c048,99-45_vehicle_01_c185,0.85
1989-08_airplane_03_c048,99-45_vehicle_02_c192,0.882
1989-08_airplane_03_c048,99-45_vehicle_02_c193,0.867
1989-08_airplane_03_c049,1989-08_airplane_03_c055,0.955
1989-08_airplane_03_c049,2000-23_background_vehicle_noise_c067,0.904
1989-08_airplane_03_c049,99-24_airplane_01_c140,0.926
1989-08_airplane_03_c050,1989-08_airplane_03_c056,0.884
1989-08_airplane_03_c050,2000-24_vehicle_noise_1_c106,0.829
1989-08_airplane_03_c050,2000-24_vehicle_noise_1_c112,0.895
1989-08_airplane_03_c050,2002-2_airplane_01_c120,0.836
1989-08_airplane_03_c050,2003-7_airplane_01_c124,0.878
1989-08_airplane_03_c051,2000-23_background_vehicle_noise_c068,0.875
1989-08_airplane_03_c051,2000-3_airplane_02_c117,0.819
1989-08_airplane_03_c051,99-22A_airplane_01_c130,0.806
1989-08_airplane_03_c051,99-22A_airplane_01_c134,0.873
1989-08_airplane_03_c051,99-22A_airplane_01_c135,0.912
1989-08_airplane_03_c051,99-45_vehicle_01_c181,0.902
1989-08_airplane_03_c052,2000-23_vehicle_noise_1_c070,0.841
1989-08_airplane_03_c052,2000-24_generator_noise_3_c087,0.919
1989-08_airplane_03_c052,2000-24_generator_noise_4_c090,0.927
1989-08_airplane_03_c052,2003-7_airplane_01_c126,0.804
1989-08_airplane_03_c052,99-37_airplane_and_vehicle_01_c146,0.964
1989-08_airplane_03_c052,99-45_vehicle_01_c182,0.805
1989-08_airplane_03_c053,2000-23_vehicle_noise_3_c074,0.854
1989-08_airplane_03_c053,2000-23_vehicle_noise_4_c076,0.866
1989-08_airplane_03_c053,2000-24_generator_noise_2_c084,0.844
1989-08_airplane_03_c053,2000-24_generator_noise_4_c094,0.841
1989-08_airplane_03_c053,2000-24_generator_noise_4_c095,0.891
1989-08_airplane_03_c054,1989-08_airplane_03_c057,0.971
1989-08_airplane_03_c054,2000-23_vehicle_noise_4_c077,0.865
1989-08_airplane_03_c054,2000-24_vehicle_noise_1_c109,0.881
1989-08_airplane_03_c054,2000-24_vehicle_noise_1_c110,0.803
1989-08_airplane_03_c054,99-37_airplane_02_c142,0.918
1989-08_airplane_03_c054,99-45_vehicle_01_c163,0.849
1989-08_airplane_03_c054,99-45_vehicle_01_c164,0.815
1989-08_airplane_03_c054,99-45_vehicle_01_c165,0.845
1989-08_airplane_03_c055,2000-23_background_vehicle_noise_c067,0.918
1989-08_airplane_03_c055,2002-2_airplane_01_c122,0.815
1989-08_airplane_03_c055,99-24_airplane_01_c140,0.853
1989-08_airplane_03_c055,99-45_vehicle_02_c198,0.812
1989-08_airplane_03_c056,2000-23_background_and_vehicle_noise_2_c058,0.914
1989-08_airplane_03_c056,2000-23_vehicle_noise_1_c069,0.951
1989-08_airplane_03_c056,2000-24_generator_noise_4_c091,0.803
1989-08_airplane_03_c056,2000-24_generator_noise_4_c096,0.961
1989-08_airplane_03_c056,2000-24_vehicle_noise_1_c103,0.845
1989-08_airplane_03_c056,2000-24_vehicle_noise_1_c106,0.927
1989-08_airplane_03_c056,2000-24_vehicle_noise_1_c112,0.943
1989-08_airplane_03_c056,2002-2_airplane_01_c120,0.896
1989-08_airplane_03_c056,2003-7_airplane_01_c124,0.817
1989-08_airplane_03_c057,2000-24_vehicle_noise_1_c109,0.937
1989-08_airplane_03_c057,99-37_airplane_02_c142,0.88
1989-08_airplane_03_c057,99-45_vehicle_01_c163,0.869
1989-08_airplane_03_c057,99-45_vehicle_01_c169,0.809
2000-23_background_and_vehicle_noise_2_c058,2000-23_vehicle_noise_1_c069,0.979
2000-23_background_and_vehicle_noise_2_c058,2000-24_generator_noise_4_c091,0.964
2000-23_background_and_vehicle_noise_2_c058,2000-24_generator_noise_4_c096,0.863
2000-23_background_and_vehicle_noise_2_c058,2000-24_vehicle_noise_1_c103,0.93
2000-23_background_and_vehicle_noise_2_c058,2000-24_vehicle_noise_1_c106,0.917
2000-23_background_and_vehicle_noise_2_c058,99-22A_airplane_01_c132,0.895
2000-23_background_and_vehicle_noise_2_c058,99-24_airplane_01_c139,0.875
2000-23_background_and_vehicle_noise_2_c058,99-45_airplane_01_c148,0.86
2000-23_background_and_vehicle_noise_2_c058,99-45_airplane_03_c154,0.911
2000-23_background_and_vehicle_noise_2_c058,99-45_vehicle_01_c188,0.858
2000-23_background_and_vehicle_noise_2_c058,99-45_vehicle_01_c190,0.869
2000-23_background_and_vehicle_noise_2_c063,2000-23_background_vehicle_noise_c067,0.846
2000-23_background_and_vehicle_noise_2_c063,2000-23_vehicle_noise_4_c075,0.834
2000-23_background_and_vehicle_noise_2_c063,2000-23_vehicle_noise_4_c076,0.834
2000-23_background_and_vehicle_noise_2_c063,2000-24_generator_noise_2_c083,0.897
2000-23_background_and_vehicle_noise_2_c063,2000-24_vehicle_noise_1_c108,0.821
2000-23_background_noise_1_c064,99-45_vehicle_02_c196,0.923
2000-23_background_noise_1_c064,99-45_vehicle_02_c204,0.904
2000-23_background_noise_1_c065,2000-24_generator_noise_4_c088,0.802
2000-23_background_noise_1_c065,2000-24_vehicle_noise_1_c110,0.83
2000-23_background_noise_1_c065,99-37_airplane_02_c143,0.943
2000-23_background_noise_1_c066,2000-23_background_vehicle_noise_c068,0.805
2000-23_background_noise_1_c066,2000-23_vehicle_noise_1_c071,0.91
2000-23_background_noise_1_c066,2000-23_vehicle_noise_4_c078,0.827
2000-23_background_noise_1_c066,2000-24_generator_noise_2_c082,0.884
2000-23_background_noise_1_c066,2000-24_generator_noise_3_c087,0.833
2000-23_background_noise_1_c066,2000-3_airplane_03_c118,0.925
2000-23_background_vehicle_noise_c067,2002-2_airplane_01_c122,0.832
2000-23_background_vehicle_noise_c067,99-24_airplane_01_c140,0.901
2000-23_background_vehicle_noise_c068,2000-23_vehicle_noise_1_c071,0.897
2000-23_background_vehicle_noise_c068,2000-24_generator_noise_2_c082,0.829
2000-23_background_vehicle_noise_c068,2000-24_generator_noise_3_c086,0.85
2000-23_background_vehicle_noise_c068,2000-3_airplane_02_c117,0.98
2000-23_background_vehicle_noise_c068,2000-3_airplane_03_c118,0.841
2000-23_background_vehicle_noise_c068,99-22A_airplane_01_c130,0.926
2000-23_background_vehicle_noise_c068,99-24_airplane_01_c141,0.846
2000-23_background_vehicle_noise_c068,99-45_vehicle_01_c181,0.825
2000-23_background_vehicle_noise_c068,99-45_vehicle_01_c184,0.88
2000-23_background_vehicle_noise_c068,99-45_vehicle_01_c185,0.813
2000-23_background_vehicle_noise_c068,99-45_vehicle_02_c192,0.899
2000-23_background_vehicle_noise_c068,99-45_vehicle_02_c193,0.82
2000-23_vehicle_noise_1_c069,2000-24_generator_noise_4_c091,0.892
2000-23_vehicle_noise_1_c069,2000-24_generator_noise_4_c096,0.882
2000-23_vehicle_noise_1_c069,2000-24_vehicle_noise_1_c103,0.904
2000-23_vehicle_noise_1_c069,2000-24_vehicle_noise_1_c106,0.91
2000-23_vehicle_noise_1_c069,2000-24_vehicle_noise_1_c112,0.81
2000-23_vehicle_noise_1_c069,2003-7_airplane_01_c124,0.851
2000-23_vehicle_noise_1_c069,99-22A_airplane_01_c132,0.842
2000-23_vehicle_noise_1_c069,99-45_airplane_03_c154,0.912
2000-23_vehicle_noise_1_c070,2000-24_generator_noise_3_c087,0.87
2000-23_vehicle_noise_1_c070,2000-24_generator_noise_4_c090,0.944
2000-23_vehicle_noise_1_c070,2003-7_airplane_01_c126,0.88
2000-23_vehicle_noise_1_c071,2000-23_vehicle_noise_4_c078,0.839
2000-23_vehicle_noise_1_c071,2000-24_generator_noise_2_c082,0.953
2000-23_vehicle_noise_1_c071,2000-24_generator_noise_3_c086,0.902
2000-23_vehicle_noise_1_c071,2000-3_airplane_02_c117,0.917
2000-23_vehicle_noise_1_c071,2000-3_airplane_03_c118,0.936
2000-23_vehicle_noise_1_c071,99-22A_airplane_01_c130,0.842
2000-23_vehicle_noise_1_c071,99-24_airplane_01_c141,0.803
2000-23_vehicle_noise_1_c071,99-45_vehicle_01_c184,0.855
2000-23_vehicle_noise_1_c071,99-45_vehicle_02_c192,0.868
2000-23_vehicle_noise_1_c071,99-45_vehicle_02_c193,0.879
2000-23_vehicle_noise_1_c071,99-45_vehicle_02_c194,0.825
2000-23_vehicle_noise_3_c073,2000-23_vehicle_noise_4_c077,0.861
2000-23_vehicle_noise_3_c073,2000-24_vehicle_noise_1_c101,0.965
2000-23_vehicle_noise_3_c073,2000-24_vehicle_noise_1_c107,0.915
2000-23_vehicle_noise_3_c073,2000-27_airplane_01_c114,0.89
2000-23_vehicle_noise_3_c073,2003-7_airplane_01_c125,0.827
2000-23_vehicle_noise_3_c073,99-37_airplane_02_c143,0.855
2000-23_vehicle_noise_3_c074,2000-23_vehicle_noise_4_c076,0.979
