Selection,Sound_file,Start_time,End_time,Call_type
91,2000-24_generator_noise_4.wav,79.0019,84.57046058,rumble
92,2000-24_generator_noise_4.wav,84.1156,86.77611852,rumble
93,2000-24_generator_noise_4.wav,86.7761,90.28798444,rumble
94,2000-24_generator_noise_4.wav,100.1851,105.7721889,rumble
95,2000-24_generator_noise_4.wav,138.7455,145.2903756,rumble
96,2000-24_generator_noise_4.wav,195.4937,202.6771,rumble
97,2000-24_generator_noise_4.wav,220.3618,226.8002548,rumble
98,2000-24_vehicle_and_generator_noise_1.wav,21.3066,29.23494518,rumble
99,2000-24_vehicle_and_generator_noise_1.wav,89.4685,93.29964666,rumble
100,2000-24_vehicle_noise_1.wav,10.412,16.15872,rumble
101,2000-24_vehicle_noise_1.wav,19.7771,24.45961259,rumble
102,2000-24_vehicle_noise_1.wav,27.7586,32.49432296,rumble
103,2000-24_vehicle_noise_1.wav,44.6959,49.27199185,rumble
104,2000-24_vehicle_noise_1.wav,71.4607,75.71752963,rumble
105,2000-24_vehicle_noise_1.wav,90.2942,94.44460889,rumble
106,2000-24_vehicle_noise_1.wav,119.2612,122.7730844,rumble
107,2000-24_vehicle_noise_1.wav,133.2023,137.7251815,rumble
108,2000-24_vehicle_noise_1.wav,176.3744,180.7908607,rumble
109,2000-24_vehicle_noise_1.wav,186.8601,192.5791622,rumble
110,2000-24_vehicle_noise_1.wav,202.9069,205.6206289,rumble
111,2000-24_vehicle_noise_1.wav,219.5196,222.6590119,rumble
112,2000-24_vehicle_noise_1.wav,264.9425,272.7685851,rumble
113,2000-24_vehicle_noise_1.wav,287.9692,295.6447835,rumble
114,2000-24_vehicle_noise_2.wav,38.1506,43.15237481,rumble
115,2000-27_airplane_01.wav,133.3136,139.5924237,rumble
116,2000-27_airplane_01.wav,221.1145,228.4575311,rumble
117,2000-3_airplane_02.wav,43.912,48.11561926,rumble
118,2000-3_airplane_02.wav,55.6715,59.18338444,rumble
119,2000-3_airplane_03.wav,71.0204,77.08638222,rumble
120,2002-2_airplane_01.wav,112.2981,116.1292467,rumble
121,2002-2_airplane_01.wav,119.0026,123.8979541,rumble
122,2002-2_airplane_01.wav,168.9963,173.5934616,bark-rumble
123,2002-2_airplane_01.wav,199.028,202.6463052,rumble
124,2003-7_airplane_01.wav,28.4817,32.04679481,bark-rumble
125,2003-7_airplane_01.wav,31.5147,36.62289555,rumble
126,2003-7_airplane_01.wav,40.9329,46.99888222,rumble
127,2003-7_airplane_01.wav,52.9584,60.30143111,rumble
128,2003-7_airplane_01.wav,66.261,70.09214667,rumble
129,2003-7_airplane_01.wav,76.3681,81.84876815,rumble
130,99-22A_airplane_01.wav,1.6605,4.853122222,rumble
131,99-22A_airplane_01.wav,84.9082,87.35587704,rumble
132,99-22A_airplane_01.wav,115.0893,116.3663489,rumble
133,99-22A_airplane_01.wav,116.6172,119.1712978,rumble
134,99-22A_airplane_01.wav,123.8158,125.5185319,rumble
135,99-22A_airplane_01.wav,142.2798,143.8761111,rumble
136,99-22A_airplane_01.wav,144.1421,145.7916215,rumble
137,99-22A_airplane_01.wav,150.1017,151.112697,rumble
138,99-22A_airplane_01.wav,199.0569,201.8238393,rumble
139,99-24_airplane_01.wav,16.5366,18.87785629,rumble
140,99-24_airplane_01.wav,22.3897,24.67774593,rumble
141,99-24_airplane_01.wav,46.2882,49.95971556,rumble
142,99-24_airplane_01.wav,52.301,54.16336296,rumble
143,99-37_airplane_02.wav,2.1123,5.943446666,rumble
144,99-37_airplane_02.wav,11.903,17.64972,rumble
145,99-37_airplane_and_vehicle_01.wav,44.1088,47.35463259,rumble
146,99-37_airplane_and_vehicle_01.wav,71.0333,73.64060815,rumble
147,99-37_airplane_and_vehicle_01.wav,95.5281,99.09319481,rumble
148,99-45_airplane_01.wav,51.3391,55.17024667,rumble
149,99-45_airplane_01.wav,69.7746,72.22227704,rumble
150,99-45_airplane_01.wav,97.2073,105.0292244,rumble
151,99-45_airplane_01.wav,105.4016,109.285957,rumble
152,99-45_airplane_01.wav,179.5454,184.866437,rumble
153,99-45_airplane_01.wav,199.3396,201.3615941,rumble
154,99-45_airplane_01.wav,215.6173,223.1423819,rumble
155,99-45_airplane_03.wav,55.104,58.77551555,rumble
156,99-45_airplane_03.wav,73.6744,76.06886667,rumble
157,99-45_airplane_03.wav,101.3027,108.8053622,rumble
158,99-45_airplane_03.wav,108.965,113.0089881,rumble
159,99-45_airplane_03.wav,183.703,188.3323022,rumble
160,99-45_airplane_03.wav,203.0716,205.2000148,rumble
161,99-45_airplane_03.wav,219.893,224.9975137,rumble
162,99-45_vehicle_01.wav,10.3543,13.49371185,rumble
163,99-45_vehicle_01.wav,106.0364,108.2712356,rumble
164,99-45_vehicle_01.wav,107.4731,109.8675667,rumble
165,99-45_vehicle_01.wav,132.5431,135.7889326,rumble
166,99-45_vehicle_01.wav,135.0972,136.7467215,rumble
167,99-45_vehicle_01.wav,173.4055,176.1724393,rumble
168,99-45_vehicle_01.wav,201.2785,205.2160674,rumble
169,99-45_vehicle_01.wav,213.304,215.4324148,roar
170,99-45_vehicle_01.wav,215.8581,218.5186185,rumble
171,99-45_vehicle_01.wav,219.2104,222.3498119,rumble
172,99-45_vehicle_01.wav,227.3516,231.0231156,rumble
173,99-45_vehicle_01.wav,236.2377,238.5257459,rumble
174,99-45_vehicle_01.wav,239.0046,240.866963,rumble
175,99-45_vehicle_01.wav,241.0798,243.2082148,rumble
176,99-45_vehicle_01.wav,243.2082,246.507243,trumpet
177,99-45_vehicle_01.wav,249.3806,250.2851763,trumpet
178,99-45_vehicle_01.wav,250.7641,254.3291948,rumble
179,99-45_vehicle_01.wav,256.974,258.7831526,rumble
180,99-45_vehicle_01.wav,258.7832,262.1354533,rumble
181,99-45_vehicle_01.wav,261.4437,264.1042185,rumble
182,99-45_vehicle_01.wav,264.7428,268.6803674,rumble
183,99-45_vehicle_01.wav,270.623,273.070677,rumble
184,99-45_vehicle_01.wav,273.6559,276.7421015,rumble
185,99-45_vehicle_01.wav,278.232,281.4246222,rumble
186,99-45_vehicle_01.wav,280.7861,281.9567281,rumble
187,99-45_vehicle_01.wav,316.511,320.0760948,rumble
188,99-45_vehicle_01.wav,317.3623,321.3530778,rumble
189,99-45_vehicle_01.wav,329.6007,332.3144289,rumble
190,99-45_vehicle_01.wav,336.1456,339.4978533,rumble
191,99-45_vehicle_01.wav,350.9323,352.9542941,rumble
192,99-45_vehicle_02.wav,17.0062,20.03919111,rumble
193,99-45_vehicle_02.wav,19.6667,23.60426741,rumble
194,99-45_vehicle_02.wav,20.3584,23.12533926,rumble
195,99-45_vehicle_02.wav,22.6997,26.21158444,rumble
196,99-45_vehicle_02.wav,77.6022,79.51777333,rumble
197,99-45_vehicle_02.wav,78.8261,82.81687778,rumble
198,99-45_vehicle_02.wav,81.1141,84.62598444,roar-rumble
199,99-45_vehicle_02.wav,96.0662,98.35424593,rumble
200,99-45_vehicle_02.wav,103.2496,104.7927007,rumble
201,99-45_vehicle_02.wav,106.868,110.0074118,rumble-roar-rumble
202,99-45_vehicle_02.wav,110.4863,113.6257119,rumble
203,99-45_vehicle_02.wav,113.5192,115.5411941,rumble
204,99-45_vehicle_02.wav,114.7963,116.3394007,rumble
205,99-45_vehicle_02.wav,116.233,119.7059757,trumpet-rumble
206,99-45_vehicle_02.wav,119.4399,122.7921533,rumble
207,99-45_vehicle_02.wav,119.9331,121.2101489,trumpet
208,99-45_vehicle_02.wav,123.8707,125.8394837,rumble
209,99-45_vehicle_02.wav,125.9459,127.4357904,trumpet
210,99-45_vehicle_02.wav,127.8614,131.4264948,rumble
211,99-45_vehicle_02.wav,139.887,145.3144578,rumble
212,J86-1_airplane_01.wav,192.4952,198.9336548,rumble
